location_iso,location_code,target_end_date,epiweek,hospitalizations
US-AZ,04,2025-01-18,202503,1077.0
US-AZ,04,2025-01-25,202504,999.0
US-AZ,04,2025-02-01,202505,836.0
US-AZ,04,2025-02-08,202506,836.0
US-AZ,04,2025-02-15,202507,711.0
US-AZ,04,2025-02-22,202508,647.0
US-AZ,04,2025-03-01,202509,657.0
US-AZ,04,2025-03-08,202510,499.0
US-AZ,04,2025-03-15,202511,393.0
US-AZ,04,2025-03-22,202512,346.0
US-AZ,04,2025-03-29,202513,238.0
US-AZ,04,2025-04-05,202514,111.0
US-AZ,04,2025-04-12,202515,93.0
US-AZ,04,2025-04-19,202516,88.0
US-AZ,04,2025-04-26,202517,77.0
US-AZ,04,2025-05-03,202518,80.0
US-AZ,04,2025-05-10,202519,53.0
US-AZ,04,2025-05-17,202520,69.0
US-AZ,04,2025-05-24,202521,38.0
US-AZ,04,2025-05-31,202522,55.0
US-AZ,04,2025-06-07,202523,32.0
US-AZ,04,2025-06-14,202524,35.0
US-AZ,04,2025-06-21,202525,18.0
US-AZ,04,2025-06-28,202526,11.0
US-AZ,04,2025-07-05,202527,24.0
US-AZ,04,2025-07-12,202528,15.0
US-AZ,04,2025-07-19,202529,10.0
US-AZ,04,2025-07-26,202530,6.0
US-AZ,04,2025-08-02,202531,5.0
US-AZ,04,2025-08-09,202532,11.0
US-AZ,04,2025-08-16,202533,18.0
US-AZ,04,2025-08-23,202534,6.0
US-AZ,04,2025-08-30,202535,27.0
US-AZ,04,2025-09-06,202536,11.0
US-AZ,04,2025-09-13,202537,14.0
US-AZ,04,2025-09-20,202538,16.0
US-AZ,04,2025-09-27,202539,13.0
US-AZ,04,2025-10-04,202540,19.0
US-AZ,04,2025-10-11,202541,9.0
US-AZ,04,2025-10-18,202542,12.0
US-AZ,04,2025-10-25,202543,15.0
US-AZ,04,2025-11-01,202544,11.0
US-AZ,04,2025-11-08,202545,17.0
US-AZ,04,2025-11-15,202546,18.0
US-AZ,04,2025-11-22,202547,47.0
US-AZ,04,2025-11-29,202548,47.0
US-AZ,04,2025-12-06,202549,41.0
US-AZ,04,2025-12-13,202550,80.0
US-AZ,04,2025-12-20,202551,132.0
US-AZ,04,2025-12-27,202552,316.0
US-AZ,04,2026-01-03,202553,362.0
US-AZ,04,2026-01-10,202601,223.0
US-AZ,04,2026-01-17,202602,145.0
US-AZ,04,2026-01-24,202603,198.0
US-AZ,04,2026-01-31,202604,263.0
US-AZ,04,2026-02-07,202605,346.0
US-AZ,04,2026-02-14,202606,415.0
US-AZ,04,2026-02-21,202607,354.0
US-AZ,04,2026-02-28,202608,284.0
US-AZ,04,2026-03-07,202609,237.0
US-AZ,04,2026-03-14,202610,196.0
US-AZ,04,2026-03-21,202611,136.0
US-AZ,04,2026-03-28,202612,125.0
US-AZ,04,2026-04-04,202613,74.0
US-AZ,04,2026-04-11,202614,67.0
US-AZ,04,2026-04-18,202615,61.0
US-AZ,04,2026-04-25,202616,69.0
US-AZ,04,2026-05-02,202617,71.0
US-AZ,04,2026-05-09,202618,51.0
US-AZ,04,2026-05-16,202619,62.0
US-AZ,04,2026-05-23,202620,53.0
US-AR,05,2024-01-06,202401,234.0
US-AR,05,2024-01-13,202402,223.0
US-AR,05,2024-01-20,202403,227.0
US-AR,05,2024-01-27,202404,275.0
US-AR,05,2024-02-03,202405,245.0
US-AR,05,2024-02-10,202406,291.0
US-AR,05,2024-02-17,202407,258.0
US-AR,05,2024-02-24,202408,275.0
US-AR,05,2024-03-02,202409,278.0
US-AR,05,2024-03-09,202410,247.0
US-AR,05,2024-03-16,202411,190.0
US-AR,05,2024-03-23,202412,103.0
US-AR,05,2024-03-30,202413,82.0
US-AR,05,2024-04-06,202414,60.0
US-AR,05,2024-04-13,202415,47.0
US-AR,05,2024-04-20,202416,30.0
US-AR,05,2024-04-27,202417,60.0
US-AR,05,2024-05-04,202418,14.0
US-AR,05,2024-05-11,202419,12.0
US-AR,05,2024-05-18,202420,0.0
US-AR,05,2024-05-25,202421,2.0
US-AR,05,2024-06-01,202422,6.0
US-AR,05,2024-06-08,202423,5.0
US-AR,05,2024-06-15,202424,5.0
US-AR,05,2024-06-22,202425,5.0
US-AR,05,2024-06-29,202426,1.0
US-AR,05,2024-07-06,202427,4.0
US-AR,05,2024-07-13,202428,5.0
US-AR,05,2024-07-20,202429,7.0
US-AR,05,2024-07-27,202430,8.0
US-AR,05,2024-08-03,202431,4.0
US-AR,05,2024-08-10,202432,6.0
US-AR,05,2024-08-17,202433,4.0
US-AR,05,2024-08-24,202434,4.0
US-AR,05,2024-08-31,202435,5.0
US-AR,05,2024-09-07,202436,7.0
US-AR,05,2024-09-14,202437,2.0
US-AR,05,2024-09-21,202438,3.0
US-AR,05,2024-09-28,202439,0.0
US-AR,05,2024-10-05,202440,3.0
US-AR,05,2024-10-12,202441,0.0
US-AR,05,2024-10-19,202442,2.0
US-AR,05,2024-10-26,202443,1.0
US-AR,05,2024-11-02,202444,6.0
US-AR,05,2024-11-09,202445,11.0
US-AR,05,2024-11-16,202446,13.0
US-AR,05,2024-11-23,202447,8.0
US-AR,05,2024-11-30,202448,12.0
US-AR,05,2024-12-07,202449,32.0
US-AR,05,2024-12-14,202450,42.0
US-AR,05,2024-12-21,202451,59.0
US-AR,05,2024-12-28,202452,127.0
US-AR,05,2025-01-04,202501,212.0
US-AR,05,2025-01-11,202502,158.0
US-AR,05,2025-01-18,202503,223.0
US-AR,05,2025-01-25,202504,388.0
US-AR,05,2025-02-01,202505,551.0
US-AR,05,2025-02-08,202506,752.0
US-AR,05,2025-02-15,202507,543.0
US-AR,05,2025-02-22,202508,392.0
US-AR,05,2025-03-01,202509,363.0
US-AR,05,2025-03-08,202510,326.0
US-AR,05,2025-03-15,202511,232.0
US-AR,05,2025-03-22,202512,165.0
US-AR,05,2025-03-29,202513,111.0
US-AR,05,2025-04-05,202514,71.0
US-AR,05,2025-04-12,202515,34.0
US-AR,05,2025-04-19,202516,29.0
US-AR,05,2025-04-26,202517,24.0
US-AR,05,2025-05-03,202518,21.0
US-AR,05,2025-05-10,202519,13.0
US-AR,05,2025-05-17,202520,13.0
US-AR,05,2025-05-24,202521,14.0
US-AR,05,2025-05-31,202522,14.0
US-AR,05,2025-06-07,202523,14.0
US-AR,05,2025-06-14,202524,12.0
US-AR,05,2025-06-21,202525,14.0
US-AR,05,2025-06-28,202526,20.0
US-AR,05,2025-07-05,202527,5.0
US-AR,05,2025-07-12,202528,8.0
US-AR,05,2025-07-19,202529,4.0
US-AR,05,2025-07-26,202530,4.0
US-AR,05,2025-08-02,202531,2.0
US-AR,05,2025-08-09,202532,2.0
US-AR,05,2025-08-16,202533,4.0
US-AR,05,2025-08-23,202534,3.0
US-AR,05,2025-08-30,202535,1.0
US-AR,05,2025-09-06,202536,2.0
US-AR,05,2025-09-13,202537,1.0
US-AR,05,2025-09-20,202538,3.0
US-AR,05,2025-09-27,202539,9.0
US-AR,05,2025-10-04,202540,4.0
US-AR,05,2025-10-11,202541,5.0
US-AR,05,2025-10-18,202542,2.0
US-AR,05,2025-10-25,202543,3.0
US-AR,05,2025-11-01,202544,9.0
US-AR,05,2025-11-08,202545,9.0
US-AR,05,2025-11-15,202546,27.0
US-AR,05,2025-11-22,202547,18.0
US-AR,05,2025-11-29,202548,78.0
US-AR,05,2025-12-06,202549,56.0
US-AR,05,2025-12-13,202550,87.0
US-AR,05,2025-12-20,202551,145.0
US-AR,05,2025-12-27,202552,297.0
US-AR,05,2026-01-03,202553,280.0
US-AR,05,2026-01-10,202601,165.0
US-AR,05,2026-01-17,202602,142.0
US-AR,05,2026-01-24,202603,167.0
US-AR,05,2026-01-31,202604,212.0
US-AR,05,2026-02-07,202605,175.0
US-AR,05,2026-02-14,202606,234.0
US-AR,05,2026-02-21,202607,173.0
US-AR,05,2026-02-28,202608,125.0
US-AR,05,2026-03-07,202609,108.0
US-AR,05,2026-03-14,202610,78.0
US-AR,05,2026-03-21,202611,46.0
US-AR,05,2026-03-28,202612,31.0
US-AR,05,2026-04-04,202613,22.0
US-AR,05,2026-04-11,202614,9.0
US-AR,05,2026-04-18,202615,3.0
US-AR,05,2026-04-25,202616,7.0
US-AR,05,2026-05-02,202617,7.0
US-AR,05,2026-05-09,202618,7.0
US-AR,05,2026-05-16,202619,9.0
US-AR,05,2026-05-23,202620,8.0
US-CA,06,2024-01-06,202401,1470.0
US-CA,06,2024-01-13,202402,1075.0
US-CA,06,2024-01-20,202403,1096.0
US-CA,06,2024-01-27,202404,732.0
US-CA,06,2024-02-03,202405,547.0
US-CA,06,2024-02-10,202406,464.0
US-CA,06,2024-02-17,202407,342.0
US-CA,06,2024-02-24,202408,302.0
US-CA,06,2024-03-02,202409,266.0
US-CA,06,2024-03-09,202410,207.0
US-CA,06,2024-03-16,202411,188.0
US-CA,06,2024-03-23,202412,175.0
US-CA,06,2024-03-30,202413,180.0
US-CA,06,2024-04-06,202414,151.0
US-CA,06,2024-04-13,202415,179.0
US-CA,06,2024-04-20,202416,157.0
US-CA,06,2024-04-27,202417,156.0
US-CA,06,2024-05-04,202418,77.0
US-CA,06,2024-05-11,202419,49.0
US-CA,06,2024-05-18,202420,57.0
