location,reference_date,energyscore,energyscore_norm,location_name
54,2026-01-31,51.5219077735663,0.08025219279371698,West Virginia
55,2026-01-31,96.0792149841501,0.09047007060654434,Wisconsin
56,2026-01-31,11.286709088023056,0.1546124532605898,Wyoming
72,2026-01-31,88.44402455296257,0.13544261034144345,72
US,2026-01-31,3510.772508319651,0.05624164984572435,United States
01,2026-02-14,211.80496281794788,0.19342918978808027,Alabama
02,2026-02-14,7.418751161884099,0.19523029373379208,Alaska
04,2026-02-14,110.06674163612954,0.08532305553188337,Arizona
05,2026-02-14,67.1597542115307,0.10559709781687217,Arkansas
06,2026-02-14,788.9499379568156,0.1314259433544587,California
08,2026-02-14,41.220121919566424,0.08883646965423798,Colorado
09,2026-02-14,38.15931917075895,0.2725665655054211,Connecticut
10,2026-02-14,14.635463479880755,0.08711585404690926,Delaware
11,2026-02-14,7.225767039569284,0.2189626375627056,District of Columbia
12,2026-02-14,913.3944763676948,0.13388954505536424,Florida
13,2026-02-14,137.3855292129077,0.10699807571098731,Georgia
15,2026-02-14,10.718043710738527,0.15311491015340753,Hawaii
16,2026-02-14,30.081499559046826,0.07372916558589908,Idaho
17,2026-02-14,155.2764425341619,0.08316895690099727,Illinois
18,2026-02-14,93.74564995509695,0.07709346213412578,Indiana
19,2026-02-14,100.58062314431315,0.16434742343842018,Iowa
20,2026-02-14,73.94528771734547,0.11831246034775274,Kansas
21,2026-02-14,57.5277000165195,0.0637779379340571,Kentucky
22,2026-02-14,140.30003114369015,0.12022282017454168,Louisiana
23,2026-02-14,22.67914071986229,0.12325619956446897,Maine
24,2026-02-14,51.1471392776686,0.21857751828063504,Maryland
25,2026-02-14,70.47016874885654,0.22300686312929283,Massachusetts
26,2026-02-14,99.46419461296617,0.08552381308079636,Michigan
27,2026-02-14,49.26586414017997,0.07150343126296077,Minnesota
28,2026-02-14,63.23201521022362,0.083751013523475,Mississippi
29,2026-02-14,161.09885922352728,0.11171904245736983,Missouri
30,2026-02-14,28.96928599484759,0.12595341736890256,Montana
31,2026-02-14,67.84541781317446,0.15560875645223501,Nebraska
32,2026-02-14,35.210024289000735,0.10417166949408502,Nevada
33,2026-02-14,19.953515469472975,0.10963470038171964,New Hampshire
34,2026-02-14,85.71697510279094,0.10491673819191058,New Jersey
35,2026-02-14,103.59091695142897,0.32372161547321554,New Mexico
36,2026-02-14,146.94013311674934,0.12766301747762757,New York
37,2026-02-14,178.40446200088974,0.17912094578402585,North Carolina
38,2026-02-14,24.807025290313348,0.25574252876611697,North Dakota
39,2026-02-14,161.39997936754276,0.07430938276590367,Ohio
40,2026-02-14,130.3074009576623,0.15531275441914458,Oklahoma
41,2026-02-14,255.3687045325097,0.2425153889197623,Oregon
42,2026-02-14,185.13152662104892,0.057673372779142966,Pennsylvania
44,2026-02-14,14.367552108249704,0.2210392632038416,Rhode Island
45,2026-02-14,90.48541975773921,0.1172090929504394,South Carolina
46,2026-02-14,11.99127353346524,0.06278153682442533,South Dakota
47,2026-02-14,84.40769232109275,0.07736727068844432,Tennessee
48,2026-02-14,539.6460248381782,0.13911988266000982,Texas
49,2026-02-14,65.32662766634029,0.32500809784248896,Utah
50,2026-02-14,16.725330960247533,0.2654814438134529,Vermont
51,2026-02-14,80.7279486334943,0.09019882528882044,Virginia
53,2026-02-14,255.85966957056422,0.29995271930898504,Washington
54,2026-02-14,39.94172939906491,0.07909253346349487,West Virginia
55,2026-02-14,84.0528070360233,0.09529796716102415,Wisconsin
56,2026-02-14,11.8799374520666,0.1773124992845761,Wyoming
72,2026-02-14,58.88466483272262,0.11500911100141137,72
US,2026-02-14,4091.2991222276305,0.07952608798016621,United States
01,2026-02-21,318.13685560459356,0.416955249809428,Alabama
02,2026-02-21,6.595474183179055,0.1832076161994182,Alaska
04,2026-02-21,220.71106440851798,0.20607942521803732,Arizona
05,2026-02-21,86.68580384101968,0.1798460660602068,Arkansas
06,2026-02-21,851.8891329774028,0.18830440605159213,California
08,2026-02-21,42.199028323527074,0.0946166554339172,Colorado
09,2026-02-21,23.77536932272301,0.16510673140779866,Connecticut
10,2026-02-21,19.332704711069532,0.12235889057638945,Delaware
11,2026-02-21,6.9988796048972475,0.21871498765303898,District of Columbia
12,2026-02-21,1673.7323619337099,0.32960464000269984,Florida
13,2026-02-21,253.37252907737687,0.25490194072170713,Georgia
15,2026-02-21,9.744023921681482,0.14763672608608305,Hawaii
16,2026-02-21,31.465981543995667,0.08550538463042301,Idaho
17,2026-02-21,256.77460226215425,0.16555422454039603,Illinois
18,2026-02-21,92.82569474609713,0.0783339196169596,Indiana
19,2026-02-21,131.74078501738222,0.26035728264304786,Iowa
20,2026-02-21,110.95392951987677,0.23557097562606533,Kansas
21,2026-02-21,72.6962187474544,0.08077357638606043,Kentucky
22,2026-02-21,131.16713991004082,0.14871557812929798,Louisiana
23,2026-02-21,19.8363604791585,0.11949614746481024,Maine
24,2026-02-21,51.83687758236442,0.25041969846552864,Maryland
25,2026-02-21,55.71673086828011,0.19212665816648314,Massachusetts
26,2026-02-21,111.19335411372262,0.10136130730512545,Michigan
27,2026-02-21,76.73354992446862,0.12396373170350343,Minnesota
28,2026-02-21,101.65250335828537,0.16609886169654473,Mississippi
29,2026-02-21,157.23336184267677,0.13070104891328077,Missouri
30,2026-02-21,26.656883685621768,0.1410417126223374,Montana
31,2026-02-21,107.04000135130451,0.3166863945304867,Nebraska
32,2026-02-21,71.51024260710679,0.26583733311192115,Nevada
33,2026-02-21,21.052374871782483,0.1472194046977796,New Hampshire
34,2026-02-21,87.30506889515615,0.10981769672346686,New Jersey
35,2026-02-21,129.09303735265337,0.4191332381579655,New Mexico
36,2026-02-21,149.23433199174235,0.1288724801310383,New York
37,2026-02-21,130.71952725113317,0.15077223443037274,North Carolina
38,2026-02-21,13.051141658306008,0.1466420411045619,North Dakota
39,2026-02-21,178.0155779852126,0.08637340028394594,Ohio
40,2026-02-21,123.82182983269364,0.19939103032639877,Oklahoma
41,2026-02-21,231.2399827852465,0.30627812289436623,Oregon
42,2026-02-21,190.18611832236292,0.05728497539830208,Pennsylvania
44,2026-02-21,10.089937123148562,0.15522980189459326,Rhode Island
45,2026-02-21,153.5745533071835,0.25176156279866146,South Carolina
46,2026-02-21,18.85753146709705,0.11498494797010397,South Dakota
47,2026-02-21,144.40626145061114,0.1529727345875118,Tennessee
48,2026-02-21,674.0143914518501,0.22709379765897914,Texas
49,2026-02-21,60.14011419709581,0.4119185903910672,Utah
50,2026-02-21,6.930511429744302,0.12600929872262367,Vermont
51,2026-02-21,92.21756586765633,0.11498449609433457,Virginia
53,2026-02-21,158.4305702494573,0.23681699588857594,Washington
54,2026-02-21,34.17700276699013,0.07017865044556494,West Virginia
55,2026-02-21,95.70869172537783,0.1239749892815775,Wisconsin
56,2026-02-21,22.483211531548662,0.4588410516642584,Wyoming
72,2026-02-21,56.86747867031664,0.11419172423758363,72
US,2026-02-21,5143.830323115485,0.11961561572716985,United States
01,2026-02-28,229.1746607620448,0.4696202064796,Alabama
02,2026-02-28,7.132607935200712,0.19277318743785707,Alaska
04,2026-02-28,185.06430944988566,0.21695698645942046,Arizona
05,2026-02-28,118.78052810876555,0.33459303692610015,Arkansas
06,2026-02-28,728.8089624497833,0.19929148549351472,California
08,2026-02-28,38.678883853149344,0.09143944173321358,Colorado
